city,num_of_rooms,num_of_bathrooms,furnished,size_in_m2,floor,age,rental_type,rental_price
Muscat,Two,Two,Not furnished,130,Ground floor,One to five years,Monthly,650
Dhofar,Two,Two,Fully furnished,95,Ground floor,One to five years,Daily,18
Muscat,One,Two,Not furnished,75,Third floor,Zero to eleven months,Yearly,225
Muscat,Two,Two,Not furnished,100,Sixth floor and up,One to five years,Yearly,350
Dhofar,Two,Two,Fully furnished,600,Basement floor,Zero to eleven months,Daily,20
Muscat,Two,Three,Not furnished,120,Third floor,Zero to eleven months,Yearly,250
Muscat,Two,Two,Not furnished,70,Sixth floor and up,Six to nine years,Yearly,250
Muscat,Two,Two,Not furnished,70,Second floor,One to five years,Yearly,185
Muscat,Two,Two,Fully furnished,333,Fifth floor,One to five years,Daily,22
Al Batinah,Three,Three,Not furnished,100,Ground floor,Six to nine years,Yearly,170
Dhofar,Two,Two,Fully furnished,100,First floor,Six to nine years,Monthly,110
Muscat,Three,Three,Not furnished,100,First floor,One to five years,Yearly,180
Muscat,Two,Three,Not furnished,100,Sixth floor and up,Zero to eleven months,Monthly,300
Muscat,Two,Three,Fully furnished,100,Second floor,Zero to eleven months,Daily,15
Muscat,One,Two,Fully furnished,65,Fifth floor,One to five years,Monthly,15
Muscat,Two,Two,Fully furnished,110,Second floor,One to five years,Monthly,220
Dhofar,Two,Two,Partially furnished,115,Fourth floor,Six to nine years,Monthly,110
Muscat,One,Two,Fully furnished,65,First floor,One to five years,Monthly,15
Muscat,Two,Three,Fully furnished,100,Third floor,One to five years,Monthly,20
Muscat,Three,Three,Not furnished,170,Fifth floor,One to five years,Yearly,350
Muscat,Two,Three,Fully furnished,110,Second floor,One to five years,Daily,20
Muscat,Two,Two,Fully furnished,110,Sixth floor and up,One to five years,Yearly,320
Muscat,Two,Two,Not furnished,120,Sixth floor and up,One to five years,Yearly,230
Dhofar,Two,Two,Fully furnished,75,Second floor,ten to nineteen years,Yearly,110
Muscat,Two,Two,Fully furnished,100,Fifth floor,One to five years,Daily,25
Al Batinah,Three,Two,Not furnished,60,Second floor,ten to nineteen years,Yearly,120
Dhofar,One,One,Fully furnished,67,First floor,Zero to eleven months,Daily,35
Dhofar,Two,Two,Fully furnished,94,Ground floor,Six to nine years,Daily,15
Muscat,Two,Two,Fully furnished,92,Fourth floor,One to five years,Daily,25
Muscat,Two,Two,Not furnished,100,Second floor,Zero to eleven months,Yearly,400
Muscat,Two,Three,Not furnished,120,Fourth floor,Zero to eleven months,Yearly,240
Muscat,Three,Three,Not furnished,120,Ground floor,One to five years,Monthly,240
Muscat,Three,Three,Fully furnished,100,Second floor,Zero to eleven months,Yearly,400
Muscat,Two,Three,Not furnished,100,First floor,Zero to eleven months,Yearly,230
Dhofar,Two,Two,Fully furnished,90,Third floor,Six to nine years,Monthly,120
Muscat,Two,Three,Fully furnished,87,Fourth floor,One to five years,Yearly,330
Al Buraimi,Two,One,Fully furnished,50,Ground floor,One to five years,Monthly,50
Dhofar,Two,Two,Not furnished,110,Third floor,Six to nine years,Monthly,110
Dhofar,Two,Two,Fully furnished,110,Second floor,Six to nine years,Monthly,120
Muscat,Two,Two,Fully furnished,100,First floor,One to five years,Daily,20
Muscat,Two,Two,Not furnished,130,First floor,Six to nine years,Monthly,220
Muscat,Two,Three,Fully furnished,112,Fifth floor,One to five years,Daily,20
Dhofar,Two,Two,Fully furnished,700,First floor,Zero to eleven months,Daily,25
Muscat,One,Two,Not furnished,80,Fifth floor,Zero to eleven months,Yearly,180
Muscat,Two,Two,Fully furnished,100,Second floor,Zero to eleven months,Monthly,350
Muscat,One,Two,Fully furnished,95,First floor,Zero to eleven months,Monthly,240
Dhofar,Two,Two,Fully furnished,350,Fifth floor,One to five years,Monthly,100
Muscat,Three,Three,Not furnished,180,Sixth floor and up,One to five years,Monthly,330
Muscat,Two,Two,Fully furnished,500,Third floor,One to five years,Monthly,20
Muscat,Two,Two,Fully furnished,100,Fourth floor,One to five years,Daily,20
Muscat,Two,Two,Fully furnished,100,First floor,Zero to eleven months,Daily,15
Muscat,Two,Two,Not furnished,98,First floor,One to five years,Monthly,350
Muscat,Three,Three,Not furnished,300,Ground floor,Six to nine years,Monthly,450
Muscat,One,Two,Not furnished,80,First floor,One to five years,Yearly,170
Muscat,One,Two,Not furnished,90,First floor,One to five years,Yearly,200
Muscat,Two,Two,Not furnished,70,First floor,One to five years,Yearly,250
Muscat,Two,Two,Fully furnished,80,First floor,Zero to eleven months,Daily,18
Dhofar,Two,Two,Fully furnished,100,First floor,Zero to eleven months,Monthly,140
Dhofar,One,One,Fully furnished,75,Third floor,One to five years,Daily,10
Muscat,Studio,Two,Not furnished,70,Sixth floor and up,One to five years,Monthly,180
Muscat,Two,Two,Fully furnished,85,Third floor,One to five years,Monthly,380
Muscat,Two,Two,Fully furnished,100,Second floor,Zero to eleven months,Daily,19
Muscat,Two,Three,Not furnished,98,Second floor,One to five years,Yearly,160
Muscat,Two,Two,Fully furnished,120,First floor,One to five years,Daily,19
Muscat,Two,Two,Not furnished,109,Fourth floor,One to five years,Yearly,330
Muscat,Two,Two,Not furnished,100,Second floor,One to five years,Monthly,130
Muscat,Two,Two,Not furnished,85,Fifth floor,One to five years,Monthly,260
Muscat,One,Two,Not furnished,90,Second floor,One to five years,Monthly,150
Muscat,Two,Three,Not furnished,140,Fourth floor,One to five years,Yearly,400
Muscat,Two,Two,Fully furnished,100,Third floor,Zero to eleven months,Daily,15
Muscat,One,One,Fully furnished,75,Fourth floor,One to five years,Daily,25
Muscat,Two,Three,Not furnished,100,Sixth floor and up,One to five years,Yearly,250
Muscat,Two,Three,Not furnished,130,Fifth floor,One to five years,Yearly,240
Muscat,Three,Two,Partially furnished,120,Second floor,Six to nine years,Monthly,160
Al Batinah,Two,Two,Not furnished,90,Ground floor,One to five years,Yearly,125
Muscat,Two,Two,Not furnished,100,Sixth floor and up,One to five years,Monthly,200
Dhofar,Two,Two,Fully furnished,160,Second floor,Zero to eleven months,Monthly,140
Muscat,Two,Three,Fully furnished,110,First floor,One to five years,Weekly,14
Muscat,Two,Two,Not furnished,115,Second floor,Zero to eleven months,Yearly,150
Muscat,Two,Two,Fully furnished,100,Fourth floor,Zero to eleven months,Monthly,220
Muscat,Two,Two,Not furnished,90,First floor,One to five years,Yearly,250
Muscat,Three,Three,Fully furnished,125,Fifth floor,Six to nine years,Yearly,500
Muscat,Two,Two,Fully furnished,120,Fifth floor,Six to nine years,Yearly,400
Muscat,One,One,Fully furnished,95,Second floor,Six to nine years,Yearly,350
Al Batinah,Studio,Two,Fully furnished,500,Ground floor,Zero to eleven months,Daily,10
Muscat,Studio,One,Fully furnished,50,Sixth floor and up,Zero to eleven months,Yearly,65
Dhofar,Two,Two,Fully furnished,120,Second floor,Zero to eleven months,Monthly,80
Muscat,Two,Two,Fully furnished,80,Sixth floor and up,ten to nineteen years,Monthly,330
Muscat,Three,Two,Not furnished,90,First floor,Zero to eleven months,Monthly,200
Muscat,Two,Two,Fully furnished,90,Sixth floor and up,One to five years,Daily,20
Dhofar,Two,Two,Fully furnished,65,Ground floor,One to five years,Daily,25
Muscat,Three,Two,Not furnished,210,Ground floor,One to five years,Yearly,210
Muscat,Two,Two,Fully furnished,70,Basement floor,One to five years,Yearly,67
Dhofar,Two,Two,Fully furnished,350,Third floor,One to five years,Monthly,95
Muscat,Studio,One,Fully furnished,100,Fifth floor,ten to nineteen years,Monthly,250
